|0000|017|0|01102023|31102023|Brose do Brasil Ltda. Goiana PE|02258243000664||PE|058189661|2606200|0100560||B|0|
|0001|0|
|0002|00|
|0005|BROSE GOIANA PE|55900000|ROD BR 101-NORTE|S/N||NOVA GOIANA||||
|0100|Celeste Clerici Ramos Druszcz|02081142970|PR 44908/O|||||||||celeste.druszcz@brose.com|4125506|
|0150|V0000062239|FCA FIAT CHRYSLER AUTOMOVEI DO BRASIL|1058|16701716003686||053213106|2606200||RODOVIA BR 101 13|||NOVA GOIANA|
|0150|V0000026384|NORMA EQUIPAMENTOS LTDA NORMA|1058|49310667000180||245017410111|3509601||Sena Madureira|205||JD. Vista Alegre|
|0150|V0000045146|KEYENCE BRASIL COMÉRCIO DE PRODUTOS ELETRONICOS LTDA|1058|13743249000139||146358831112|3550308||AV BRIGADEIRO FARIA LIMA|4221||ITAIM BIBI|
|0150|V0000009207|METALÚRGICA SCHIOPPA LTDA.|1058|61174652000137||102683843115|3550308||Rua Álvaro do Vale|284|||
|0150|V0000061439|ABC Equipamentos e Tecnologias Ambientai|1058|08675959000139|||3556701||Rua Graciosa Trevisan Saltori|120|||
|0150|V0001000257|Contabilista Papelaria Suprimentos de Informática Ltda.|1058|77765840000170||1015748490|4106902||Rua JOSE BATISTA DOS SANTOS|2951||CIDADE INDUSTRIAL|
|0150|V0000088945|HD TOOLS COMERCIAL LTDA - ME|1058|00784815000109||148053319117|3550308||Rua Cerqueira César|461||SANTO AMARO|
|0150|V0007005760|Pernambuco Distribuidora Atacadista EPI's, Insumos Ind. & Mro Ltda.|1058|02155469000982||163663416|2500601||Rua Mandel Cesar de Melo galpao dp||||
|0150|V0000083036|RENISHAW LATINO AMERICANA LTDA|1058|00939581000121||206082223117|3505708||CALÇADA DOS CRAVOS|141||ALPHAVILLE|
|0150|V0000071002|SEGURA COMERCIO DE EQUIPAMENTOS DE PROTEÇÃO|1058|13326462000145||161873189|2504009||RUA DAS MANGUEIRAS|238A||AMAZONIA PARK|
|0150|V0007006938|Balluff Controles Elétricos Ltda|1058|52702990000707||748441680111|3519071||Rua perola|200|||
|0150|C0000005547|Sulbras moldes e plásticos|1058|89729867000609||060977744|2602902||Rod. BR-101 Sul|5225||Centro|
