|0000|017|0|01102023|31102023|Brose do Brasil Ltda. Sao Paulo SP|02258243000745||SP|400024710119|3525201|3525201||A|0|
|0001|0|
|0002|00|
|0005|BROSE SAO PAULO PE|13240000|ESTM Alberto Tofanin, KM 5,5|S/N||Pinhal||||
|0100|Celeste Clerici Ramos Druszcz|02081142970|PR 44908/O|||||||||celeste.druszcz@brose.com|4125506|
|0150|V0000044990|Estampo Tec Industria e Comércio LT|1058|64999527000154||336743140112|3518800||Avenida Novo Brasil|220||Cumbica|
|0150|V0007003648|DIMENSIONAL BRASIL SOLUÇÕES LTDA|1058|06913480002616||260765929|4209102||AVENIDA MISSISSIPI|255|||
|0150|V0001000257|Contabilista Papelaria Suprimentos de Informática Ltda.|1058|77765840000170||1015748490|4106902||Rua JOSE BATISTA DOS SANTOS|2951||CIDADE INDUSTRIAL|
|0150|C0000007343|Hyundai Motor Brasil Montadora de Automóveis Ltda|1058|10394422000142||535450318119|3538709||Av Hyundai|777||Agua Santa|
|0150|C0000006733|Toyota do Brasil Ltda|1058|59104760000353||353080289118|3520509||Rod. SP 75 Km 48|SN||Marginal Sul|
|0150|V0000012504|Toyota do Brasil Ltda.|1058|59104760000353||353080289118|3520509||Rod. SP 75 Km 48 s/nº Marginal Sul|S/N||Marginal Sul|
|0150|V0000087457|CARGOLIFT LOGÍSTICA S/A|1058|82270711000817||9039503074|4125506||AVENIDA INDUSTRIAL|900||ROSEIRA|
|0150|V0007007933|FKS LOGISTICS LTDA|1058|17353801000648||127765356119|3518800||AV RIVER|636|||
|0150|V0007009169|FKS LOGISTICS LTDA|1058|17353801000303||0032327250099|3106705||AV FAUSTO RIBEIRO DA SILVA|693|||
|0150|V0000051292|JSL S/A. JULIO SIMOES LOGISTICA|1058|52548435012266||635588862110|3548708||R FREI DAMIAO|865||PAULICEIA|
|0150|V0000073047|VRB TRANSPORTES LTDA - ME|1058|23787980000110||9071022622|4125506||R SOLDADO FRANCISCO PEREIRA|120||CRUZEIRO|
|0150|V0000087565|MASTERKRAFT EMBALAGENS|1058|34904448000151||9082715301|4125506||RUA ADIR PEDROS|821||INA|
|0150|C0000002543|Mirgor S.A.|639||||||Einstein|1111||Tierra del Fuego|
|0150|B00310001|Brose do Brasil Ltda|1058|02258243000150||9016540932|4125506||Rua Max Brose, BR 376, km 625/626|171||Campo Largo da Roseira|
|0150|C0000004008|Volkswagen Do Brasil Indústria De Veiculos Automotores Ltda|1058|59104422005704||635014699111|3548708|000000000|Est. Marginal Via Anchieta km 23,5|SN||Centro|
|0150|V0000048415|DENSO DO BRASIL LTDA|1058|43375930000132||1015073515|4106902||R JOAO CHEDE|891||CIDADE INDUSTRIAL|
|0150|V0000066331|COMPANHIA SIDERURGICA NACIONAL COMPANHIA SIDERURGICA NACIONAL|1058|33042730002239||454279823110|3530607||Av Inal|190||Vila Industrial|
|0150|V0000089798|Autoplas Ind Com de Imp e Exp de Plásticos Tecnicos LTDA|1058|25170937000136||0675854470062|3140704||Fernão Dias|495||Vila Suzana|
|0150|V0000014448|Robert Bosch Ltda.|1058|45990181000189||244007410115|3509502||ROD ANHANGUERA|SN|km 98|JARDIM EULINA|
|0150|V0000004598|Brose do Brasil Ltda.|1058|02258243000150||9016540932|4125506||Av Sul BR 376 KM 628/629|151|||
|0150|B0000310001|Brose do Brasil Ltda|1058|02258243000150||9016540932|4125506||Rua Max Brose, BR 376, km 625/626|171||Campo Largo da Roseira|
|0150|V0000072887|EQUILAM SERVIÇOS EIRELI - EPP|1058|24660034000170||286436310113|3513801||RUA BOTOCUDOS|315|||
|0150|V0000088584|Hyundai Piracicaba|1058|10394422000142||535450318119|3538709||Av Hyundai|777|||
